Word of Blasting 0.4
Worry Beads 0.4

; Urza's Saga

Absolute Grace 0.6
Absolute Law 0.6
Abundance 0.7
Abyssal Horror 0.4
Academy Researchers 0.3
Acidic Soil 0.5
Acridian 0.6
Albino Troll 0.8
Anaconda 0.7
Angelic Chorus 0.6
Angelic Page 0.5
Annul 0.3
Antagonism 0.3
Arc Lightning 0.8
Arcane Laboratory 0.1
Argothian Elder 0.4
Argothian Enchantress 0.2
Argothian Swine 0.7
Argothian Wurm 0.7
Attunement 0.5
Back to Basics 0.2
Barrin, Master Wizard 0.8
Barrin's Codex 0.5
Bedlam 0.7
Befoul 0.8
Bereavement 0.2
Blanchwood Armor 0.7
Blanchwood Treefolk 0.7
Blasted Landscape 0.5
Blood Vassal 0.5
Bog Raiders 0.6
Brand 0.3
Bravado 0.5
Breach 0.5
Brilliant Halo 0.8
Bull Hippo 0.7
Bulwark 0.4
Cackling Fiend 0.4
Carpet of Flowers 0.3
Carrion Beetles 0.3
Catalog 0.5
Catastrophe 1.0
Cathodion 0.7
Cave Tiger 0.7
Child of Gaea 0.9
Chimeric Staff 0.9
Citanul Centaurs 0.9
Citanul Flute 0.8
Citanul Hierophants 0.7
Claws of Gix 0.6
Clear 0.5
Cloak of Mists 0.5
Confiscate 0.9
Congregate 0.5
Contamination 0.3
Copper Gnomes 0.3
Coral Merfolk 0.4
Corrupt	0.6
Cradle Guard 0.8
Crater Hellion 1.0
Crazed Skirge 0.7
Crosswinds 0.6
Crystal Chimes 0.3
Curfew 0.4
Dark Hatchling 0.9
Dark Ritual 0.3
Darkest Hour 0.35
Defensive Formation 0.8
Despondency 0.7
Destructive Urge 0.4
Diabolic Servitude 0.9
Disciple of Grace 0.45
Disciple of Law 0.45
Discordant Dirge 0.5
Disenchant 0.6
Disorder 0.4
Disruptive Student 0.4
Douse 0.4
Dragon Blood 0.8
Drifting Djinn 0.9
Drifting Meadow	0.5
Dromosaur 0.5 
Duress 0.6
Eastern Paladin	0.8
Electryte 0.6
Elite Archers 0.7
Elvish Herder 0.6
Elvish Lyrist 0.45
Enchantment Alteration 0.7
Endless Wurm 0.7
Endoskeleton 0.7
Energy Field 0.8
Exhaustion 0.6
Exhume 0.4
Exploration 0.7
Expunge 0.8
Faith Healer 0.4
Falter 0.5
Fault Line 1.0
Fecundity 0.2
Fertile Ground 0.6
Fiery Mantle 0.7
Fire Ants 0.6
Flesh Reaver 0.6
Fluctuator 0.3
Fog Bank 0.7
Fortitude 0.8
Gaea's Bounty 0.6
Gaea's Cradle 0.6
Gaea's Embrace 0.9
Gamble 0.6
Gilded Drake 1.0
Glorious Anthem 0.9
Goblin Cadets 0.2
Goblin Lackey 0.3
Goblin Matron 0.5
Goblin Offensive 0.5
Goblin Patrol 0.4
Goblin Raider 0.5
Goblin Spelunkers 0.6
Goblin War Buggy 0.6
Gorilla Warrior 0.6
Grafted Skullcap 0.8
Great Whale 0.8
Greater Good 0.8
Greener Pastures 0.5
Guma 0.6
Hawkeater Moth 0.5
Headlong Rush 0.5
Healing Salve 0.55
Heat Ray 0.8
Herald of Serra 0.9
Hermetic Study 0.8
Hibernation 0.4
Hidden Ancients 0.5
Hidden Guerrillas 0.5
Hidden Herd 0.4
Hidden Predators 0.6
Hidden Spider 0.6
Hidden Stag 0.6
Hollow Dogs 0.6
Hopping Automaton 0.5
Horseshoe Crab 0.6
Humble 0.8
Hush 0.5
Ill-Gotten Gains 0.4
Imaginary Pet 0.5
Intrepid Hero 0.9
Jagged Lightning 0.8
Karn, Silver Golem 0.7
Launch 0.5
Lay Waste 0.4
Lifeline 0.5
Lightning Dragon 0.85
Lilting Refrain 0.5
Lingering Mirage 0.5
Looming Shade 0.6
Lotus Blossom 0.7
Lull 0.5
Lurking Evil 0.7
Mana Leech 0.6
Meltdown 0.4
Metrognome 0.6
Midsummer Revel 0.8
Mishra's Helix 0.8
Mobile Fort 0.6
Monk Idealist 0.6
Monk Realist 0.6
Morphling 1.0
No Rest for the Wicked 0.7
Noetic Scales 0.4
Okk 0.6
Opal Acrolith 0.6
Opal Archangel 0.9
Opal Caryatid 0.7
Opal Gargoyle 0.7
Opal Titan 0.7
Oppression 0.4
Order of Yawgmoth 0.7
Outmaneuver 0.8
Pacifism 0.9
Parasitic Bond 0.5
Pariah 0.8
Path of Peace 0.8
Pegasus Charger 0.6
Pendrell Drake 0.7
Pendrell Flux 0.6
Peregrine Drake 0.7
Persecute 0.7
Pestilence 1.0
Phyrexian Colossus 0.7
Phyrexian Ghoul 0.8
Phyrexian Processor 1.0
Phyrexian Tower 0.3
Pit Trap 0.8
Planar Birth 0.4
Planar Void 0.3
Polluted Mire 0.4
Pouncing Jaguar 0.4
Power Sink 0.6
Power Taint 0.5
Presence of the Master 0.4
Priest of Gix 0.6
Priest of Titania 0.3
Purging Scythe 0.7
Rain of Filth 0.4
Rain of Salt 0.3
Ravenous Skirge 0.6
Raze 0.1
Recantation 0.7
Reclusive Wight 0.5
Redeem 0.6
Reflexes 0.2
Rejuvenate 0.4
Remembrance 0.4
Remote Isle 0.4
Reprocess 0.5
Rescind 0.6
Retaliation 0.9
Retromancer 0.65
Rewind 0.5
Rumbling Crescendo 0.4
Rune of Protection: Artifacts 0.3
Rune of Protection: Black 0.4
Rune of Protection: Blue 0.4
Rune of Protection: Green 0.4
Rune of Protection: Lands 0.2
Rune of Protection: Red 0.4
Rune of Protection: White 0.4
Sanctum Custodian 0.8
Sanctum Guardian 0.7
Sandbar Merfolk 0.4
Sandbar Serpent 0.7
Sanguine Guard 0.7
Scald 0.4
Scoria Wurm 0.6
Scrap 0.6
Seasoned Marshal 0.5
Serra Avatar 0.8
Serra Zealot 0.5
Serra's Embrace 0.6
Serra's Hymn 0.7
Serra's Liturgy 0.6
Serra's Sanctum 0.6
Shimmering Barrier 0.6
Shivan Gorge 0.6
Shivan Hellkite 1.0
Shivan Raptor 0.6
Shiv's Embrace 0.7
Show and Tell 0.4
Shower of Sparks 0.6
Sicken 0.6
Silent Attendant 0.4
Skirge Familiar 0.6
Skittering Skirge 0.6
Sleeper Agent 0.4
Slippery Karst 0.4
Smokestack 0.6
Smoldering Crater 0.4
Sneak Attack 0.6
Somnophore 0.8
Songstitcher 0.7
Soul Sculptor 0.8
Spined Fluke 0.7
Spire Owl 0.55
Sporogenesis 0.6
Spreading Algae 0.4
Steam Blast 0.8
Stern Proctor 0.6
Stroke of Genius 0.8
Sulfuric Vapors 0.5
Sunder 0.5
Symbiosis 0.8
Tainted AEther 0.5
Telepathy 0.5
Temporal Aperture 0.5
Thran Quarry 0.6
Thran Turbine 0.4
Thundering Giant 0.5
Time Spiral 0.5
Titania's Boon 0.7
Titania's Chosen 0.4
Tolarian Academy 0.2
Tolarian Winds 0.5
Torch Song 0.8
Treefolk Seedlings 0.5
Treetop Rangers 0.6
Turnabout 0.8
Umbilicus 0.5
Unnerve 0.5
Unworthy Dead 0.7
Urza's Armor 0.5
Vampiric Embrace 0.7
Vebulid 0.6
Veil of Birds 0.5
Veiled Apparition 0.7
Veiled Crocodile 0.5
Veiled Sentry 0.6
Veiled Serpent 0.6
Venomous Fangs 0.5
Vernal Bloom 0.4
Viashino Outrider 0.55
Viashino Runner 0.5
Viashino Sandswimmer 0.5
Viashino Weaponsmith 0.5
Victimize 0.7
Vile Requiem 0.9
Voice of Grace 0.7
Voice of Law 0.7
Voltaic Key 0.2
Vug Lizard 0.6
Wall of Junk 0.5
War Dance 0.7
Waylay 0.7
Western Paladin 0.8
Whetstone 0.5
Whirlwind 0.6
Wild Dogs 0.6
Wildfire 1.0
Windfall 0.5
Winding Wurm 0.7
Wirecat 0.3
Witch Engine 0.6
Wizard Mentor 0.6
Worn Powerstone 0.6
Worship 1.0
Yawgmoth's Edict 0.4
Yawgmoth's Will 0.7
Zephid 0.6
Zephid's Embrace 0.8

; Unglued

Ashnod's Coupon 0.2
B.F.M. (Big Furry Monster) 0.1
Blacker Lotus 0.4
Bronze Calendar 0.4
Bureaucracy 0.2
Burning Cinder Fury of Crimson Chaos Fire 0.2
Cardboard Carapace 0.3
Censorship 0.3
Chaos Confetti 0.2
Charm School 0.4
Checks and Balances 0.2
Chicken a la King 0.4
Chicken Egg 0.35
Clam Session 0.5
Clambassadors 0.5
Clam-I-Am 0.3
Clay Pigeon 0.35
Common Courtesy 0.6
Deadhead 0.5
Denied! 0.4
Double Cross 0.7
Double Deal 0.31
Double Dip 0.1
Double Play 0.4
Double Take 0.6
Elvish Impersonators 0.5
Flock of Rabid Sheep 0.36
Fowl Play 0.45
Free-for-All 0.8
Free-Range Chicken 0.44
Gerrymandering 0.2
Get a Life 0.38
Ghazban Ogress 0.3
Giant Fan 0.4
Goblin Bookie 0.35
Goblin Bowling Team 0.45
Goblin Tutor 0.32
Growth Spurt 0.6
Gus 0.4
Handcuffs 0.5
Hungry Hungry Heifer 0.32
Hurloon Wrangler 0.5
I'm Rubber, You're Glue 0.4
Incoming! 0.1
Infernal Spawn of Evil 0.5
Jack-in-the-Mox 0.5
Jalum Grifter 0.55
Jester's Sombrero 0.2
Jumbo Imp 0.6
Knight of the Hokey Pokey 0.7
Krazy Kow 0.5
Landfill 0.5
Lexivore 0.6
Look at Me, I'm the DCI 0.3
Mesa Chicken 0.6
Mine, Mine, Mine! 0.45
Mirror Mirror 0.4
Miss Demeanor 0.7
Once More with Feeling 0.5
Organ Harvest 0.31
Ow 0.2
Paper Tiger 0.4
Poultrygeist 0.5
Prismatic Wardrobe 0.55
Psychic Network 0.1
Ricochet 0.2
Rock Lobster 0.4
Scissors Lizard 0.4
Sex Appeal 0.4
Sorry 0.2
Spark Fiend 0.3
Spatula of the Ages 0.5
Squirrel Farm 0.6
Strategy, Schmategy 0.3
Team Spirit 0.56
Temp of the Damned 0.5
The Cheese Stands Alone 0.1
The Ultimate Nightmare of Wizards of the Coast(R) Customer Service 0.9
Timmy, Power Gamer 0.7
Urza's Contact Lenses 0.2
Urza's Science Fair Project 0.7
Volrath's Motion Sensor 0.4

;  Tempest

Abandon Hope 0.25
Advance Scout 0.5
Aftershock 0.6
Altar of Dementia 0.25
Aluren 0.3
Ancient Runes 0.0
Ancient Tomb 0.2
Angelic Protector 0.6
Anoint 0.4
Apes of Rath 0.7
Apocalypse 0.7
Armored Pegasus 0.3
Armor Sliver 0.45
Auratog 0.3
Avenging Angel 0.7
Barbed Sliver 0.7
Bayou Dragonfly 0.3
Bellowing Fiend 0.8
Benthic Behemoth 0.55
Blood Frenzy 0.35
Blood Pet 0.1
Boil 0.4
Booby Trap 0.5
Bottle Gnomes 0.5
Bounty Hunter 1.1
Broken Fall 0.5
Broken Visage 0.75
Caldera Lake 0.3
Canopy Spider 0.4
Canyon Drake 0.4
Canyon Wildcat 0.6
Capsize 0.7
Carrionette 0.7
Chaotic Goo 0.6
Charging Rhino 0.7
Chill 0.4
Choke 0.4
Cinder Marsh 0.3
Circle of Protection: Black 0.4
Circle of Protection: Blue 0.4
Circle of Protection: White 0.4
Circle of Protection: Red 0.4
Circle of Protection: Green 0.4
Circle of Protection: Shadow 0.3
Clergy en-Vec 0.35
Clot Sliver 0.6
Cloudchaser Eagle 0.45
Coercion 0.5
Coffin Queen 1.0
Coiled Tinviper 0.5
Cold Storage 0.5
Commander Greven il-Vec 0.8
Corpse Dance 0.6
Counterspell 0.6
Crazed Armodon 0.6
Crown of Flames 0.5
Cursed Scroll 1.0
Dark Banishing 0.6
Darkling Stalker 0.7
Dark Ritual 0.2
Dauthi Embrace 0.5
Dauthi Ghoul 0.5
Dauthi Horror 0.6
Dauthi Marauder 0.65
Dauthi Mercenary 0.7
Dauthi Mindripper 0.6
Dauthi Slayer 0.6
Deadshot 0.6
Death Pits of Rath 0.3
Diabolic Edict 0.4
Dirtcowl Wurm 0.8
Disenchant 0.4
Dismiss 0.6
Disturbed Burial 0.65
Dracoplasm 0.4
Dread of Night 0.35
Dream Cache 0.4
Dregs of Sorrow 1.1
Duplicity 0.2
Earthcraft 0.25
Echo Chamber 0.7
Eladamri, Lord of Leaves 0.5
Eladamri's Vineyard 0.2
Elite Javelineer 0.5
Elven Warhounds 0.5
Elvish Fury 0.7
Emerald Medallion 0.2
Emmessi Tome 0.8
Endless Scream 0.35
Energizer 0.7
Enfeeblement 0.5
Enraging Licid 0.45
Ertai's Meddling 0.35
Escaped Shapeshifter 0.6
Essence Bottle 0.2
Evincar's Justice 0.9
Excavator 0.2
Extinction 0.9
Fevered Convulsions 0.8
Field of Souls 0.3
Fighting Drake 0.7
Firefly 0.4
Fireslinger 0.9
Flailing Drake 0.5
Flickering Ward 0.6
Flowstone Giant 0.7
Flowstone Salamander 0.75
Flowstone Sculpture 0.7
Flowstone Wyvern 0.8
Fool's Tome 0.7
Frog Tongue 0.4
Fugitive Druid 0.4
Furnace of Rath 0.45
Fylamarid 0.4
Gallantry 0.5
Gaseous Form 0.35
Gerrard's Battle Cry 0.6
Ghost Town 0.2
Giant Crab 0.4
Giant Strength 0.4
Goblin Bombardment 0.5
Gravedigger 0.65
Grindstone 0.4
Hand to Hand 0.2
Hanna's Custody 0.0
Harrow 0.6
Havoc 0.25
Heart Sliver 0.3
Heartwood Dryad 0.5
Heartwood Giant 0.6
Heartwood Treefolk 0.5
Helm of Possession 0.8
Hero's Resolve 0.3
Horned Sliver 0.4
Horned Turtle 0.4
Humility 0.4
Imps' Taunt 0.55
Insight 0.6
Interdict 0.45
Intuition 0.7
Invulnerability 0.55
Jackal Pup 0.45
Jet Medallion 0.2
Jinxed Idol 0.1
Kezzerdrix 0.85
Kindle 0.6
Knight of Dawn 0.75
Knight of Dusk 0.75
Krakilin 0.9
Leeching Licid 0.4
Legacy's Allure 0.78
Legerdemain 0.75
Lightning Blast 0.74
Lightning Elemental 0.55
Light of Day 0.4
Living Death 0.9
Lobotomy 0.25
Lotus Petal 0.2
Lowland Giant 0.6
Maddening Imp 0.55
Magmasaur 0.9
Magnetic Web 0.26
Manakin 0.4
Mana Severance 0.4
Manta Riders 0.35
Marble Titan 0.8
Marsh Lurker 0.5
Master Decoy 0.9
Mawcor 0.8
Maze of Shadows 0.3
Meditate 0.5
Metallic Sliver 0.2
Mindwhip Sliver 0.3
Minion of the Wastes 0.6
Mirri's Guile 0.4
Mnemonic Sliver 0.5
Mogg Cannon 0.3
Mogg Conscripts 0.45
Mogg Fanatic 0.5
Mogg Hollows 0.3
Mogg Raider 0.5
Mogg Squad 0.25
Mongrel Pack 0.6
Mounted Archers 0.55
Muscle Sliver 0.6
Natural Spring 0.25
Nature's Revolt 0.2
Needle Storm 0.4
No Quarter 0.5
Nurturing Licid 0.5
Opportunist 0.6
Oracle en-Vec 0.65
Orim, Samite Healer 0.6
Orim's Prayer 0.45
Overrun 1.1
Pacifism 0.9
Pack Hunt 0.45
Pallimud 0.5
Patchwork Gnomes 0.5
Pearl Medallion 0.2
Pegasus Refuge 0.7
Perish 0.9
Phyrexian Grimoire 0.7
Phyrexian Hulk 0.65
Phyrexian Splicer 0.4
Pincher Beetles 0.5
Pine Barrens 0.3
Pit Imp 0.4
Power Sink 0.75
Precognition 0.5
Propaganda 0.7
Puppet Strings 0.9
Quickening Licid 0.7
Rain of Tears 0.3
Rampant Growth 0.35
Ranger en-Vec 0.65
Rathi Dragon 1.1
Rats of Rath 0.5
Reality Anchor 0.35
Reanimate 0.5
Reap 0.46
Reckless Spite 0.8
Recycle 0.8
Reflecting Pool 0.4
Renegade Warlord 0.7
Repentance 0.7
Respite 0.6
Rolling Thunder 1.1
Rootbreaker Wurm 0.75
Root Maze 0.1
Rootwalla 0.6
Rootwater Depths 0.3
Rootwater Diver 0.25
Rootwater Hunter 0.7
Rootwater Matriarch 0.7
Rootwater Shaman 0.4
Ruby Medallion 0.2
Sacred Guide 0.4
Sadistic Glee 0.35
Safeguard 0.6
Salt Flats 0.3
Sandstone Warrior 0.55
Sapphire Medallion 0.2
Sarcomancy 0.45
Scabland 0.3
Scalding Tongs 0.1
Scorched Earth 0.1
Scragnoth 0.5
Screeching Harpy 0.7
Scroll Rack 0.8
Sea Monster 0.6
Searing Touch 0.7
Seeker of Skybreak 0.55
Segmented Wurm 0.75
Selenia, Dark Angel 0.85
Serene Offering 0.3
Servant of Volrath 0.3
Shadow Rift 0.45
Shadowstorm 0.4
;Shatter 0.4
Shimmering Wings 0.25
Shocker 0.3
Skyshroud Condor 0.65
Skyshroud Elf 0.55
Skyshroud Forest 0.3
Skyshroud Ranger 0.35
Skyshroud Troll 0.75
Skyshroud Vampire 0.8
Sky Spirit 0.7
Soltari Crusader 0.7
Soltari Emissary 0.7
Soltari Foot Soldier 0.41
Soltari Guerrillas 0.8
Soltari Lancer 0.6
Soltari Monk 0.72
Soltari Priest 0.72
Soltari Trooper 0.6
Souldrinker 0.65
Spell Blast 0.5
Spike Drone 0.5
Spinal Graft 0.45
Spirit Mirror 0.6
Spontaneous Combustion 0.8
Squee's Toy 0.5
Stalking Stones 0.45
Starke of Rath 0.45
Static Orb 0.2
Staunch Defenders 0.45
Steal Enchantment 0.4
Stinging Licid 0.39
Stone Rain 0.25
Storm Front 0.35
Stun 0.45
Sudden Impact 0.45
Tahngarth's Rage 0.5
Talon Sliver 0.3
Telethopter 0.5
Thalakos Dreamsower 0.7
Thalakos Lowlands 0.3
Thalakos Mistfolk 0.5
Thalakos Seer 0.45
Thalakos Sentry 0.3
Thumbscrews 0.2
Time Ebb 0.6
Time Warp 0.9
Tooth and Claw 0.8
Torture Chamber 0.7
Tradewind Rider 0.9
Trained Armodon 0.6
Tranquility 0.31
Trumpeting Armodon 0.6
Twitch 0.5
Unstable Shapeshifter 0.5
Vec Townships 0.3
Verdant Force 1.2
Verdigris 0.3
Vhati il-Dal 0.8
Volrath's Curse 0.7
Wall of Diffusion 0.6
Warmth 0.25
Wasteland 0.35
Watchdog 0.4
Whim of Volrath 0.2
Whispers of the Muse 0.8
Wild Wurm 0.55
Wind Dancer 0.3
Wind Drake 0.6
Winds of Rath 1.2
Winged Sliver 0.4
Winter's Grasp 0.2
Wood Sage 0.35
Worthy Cause 0.3

; Stronghold

Acidic Sliver 0.6
Amok 0.5
Awakening 0.1
Bandage 0.5
Bottomless Pit 0.1
Brush With Death 0.5
Bullwhip 0.6
Burgeoning 0.3
Calming Licid 0.7
Cannibalize 0.6
Carnassid 0.7
Change of Heart 0.4
Cloud Spirit 0.7
Constant Mists 0.7
Contemplation 0.2
Contempt 0.4
Conviction 0.6
Convulsing Licid 0.35
Corrupting Licid 0.6
Craven Giant 0.4
Crossbow Ambush 0.35
Crovax the Cursed 0.9
Crystalline Sliver 0.6
Dauthi Trapper 0.4
Death Stroke 0.73
Dream Halls 0.3
Dream Prowler 0.4
Duct Crawler 0.55
Dungeon Shade 0.6
Elven Rite 0.6
Endangered Armodon 0.5
Ensnaring Bridge 0.8
Evacuation 0.3
Fanning the Flames 0.8
Flame Wave 0.78
Fling 0.31
Flowstone Blade 0.2
Flowstone Hellion 0.8
Flowstone Mauler 0.8
Flowstone Shambler 0.7
Foul Imp 0.6
Furnace Spirit 0.6
Gliding Licid 0.6
Grave Pact 1.0
Hammerhead Shark 0.61
Heartstone 0.1
Heat of Battle 0.2
Hermit Druid 0.5
Hesitation 0.5
Hibernation Sliver 0.62
Hidden Retreat 0.3
Honor Guard 0.4
Hornet Cannon 0.65
Horn of Greed 0.1
Intruder Alarm 0.1
Invasion Plans 0.1
Jinxed Ring 0.1
Lab Rats 0.52
Lancers en-Kor 0.8
Leap 0.45
Lowland Basilisk 0.6
Mana Leak 0.7
Mask of the Mimic 0.4
Megrim 0.1
Mind Games 0.6
Mind Peel 0.6
Mindwarper 0.7
